Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/KL,Train/LagragianMultiplier,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep
-0.4044224162451952,16.054177917026216,1000.0,1,20000,0.006294128485023975,0.0,0.0054877017575737305,0.9320280957278932,-0.019104989245533943,15.063549995422363,8.566495418548584,23.630053997039795,1.525878801089675e-08,4.425048771850015e-08,1.0460363626480103,0.25833263993263245,0.018278315663337708,0.08992398530244827,0.24696333706378937,1.0
-0.1639195860840892,42.68461891858547,1000.0,2,40000,0.006733621004968882,0.0,0.003435898871623739,1.2810602004550824,-0.020731927827000618,14.35231614112854,8.314644813537598,22.66696262359619,-6.484984993448961e-09,0.0,0.9908074140548706,0.2658918499946594,0.020372826606035233,0.09535887092351913,0.2683587372303009,1.0
0.0532077901732213,69.58124270699406,1000.0,3,60000,0.007465540897101164,0.016642391681671143,0.002781723300291664,1.476314045783061,-0.021711798384785652,14.76963472366333,8.16899037361145,22.9386305809021,1.602172794434864e-08,2.3574828844630247e-07,0.9525861740112305,0.2517724633216858,0.022040490061044693,0.10526799410581589,0.26430413126945496,1.0
0.331522919195949,94.009,1000.0,4,80000,0.006983396131545305,0.041061028838157654,0.00201764894926707,2.0105864438281698,-0.01906982623040676,14.850414752960205,8.781962156295776,23.63238000869751,1.354217538107605e-08,-8.85009754370003e-08,1.1047025918960571,0.26746436953544617,0.016388490796089172,0.08525626361370087,0.2421143501996994,1.0
0.414484391024273,104.53900000000002,1000.0,5,100000,0.007081550545990467,0.06917547434568405,0.0028377487265599808,2.1529134123188673,-0.015389564447104931,14.607113599777222,8.74634075164795,23.353459358215332,7.629394338515283e-10,6.103515470812226e-09,1.3721632957458496,0.26508650183677673,0.010622285306453705,0.07997070252895355,0.19318875670433044,1.0
0.5490051189731785,108.34200000000001,1000.0,6,120000,0.00736908707767725,0.09950903058052063,0.002089058966405547,2.4586900251686195,-0.01936785876750946,14.824108362197876,8.733336687088013,23.55745577812195,-7.629394338515283e-10,1.0528564331480084e-07,1.068757176399231,0.24632245302200317,0.017509417608380318,0.11150488257408142,0.23047560453414917,1.0
0.6701005725313719,110.48499999999999,1000.0,7,140000,0.006025327369570732,0.13133195042610168,0.0034931499433887613,1.6988118997045383,-0.016104429960250854,15.084979057312012,8.824838399887085,23.909823656082153,9.918212917625624e-09,2.5939939973795845e-08,1.2490522861480713,0.2770926058292389,0.012819420546293259,0.07436559349298477,0.22184225916862488,1.0
0.836660893883981,91.558,1000.0,8,160000,0.005818862002342939,0.16380557417869568,0.0031051198683477417,1.8464868120327118,-0.01394600048661232,14.912661790847778,8.822697401046753,23.735370635986328,7.247924482811641e-09,1.9836425835251248e-08,1.4642651081085205,0.30053991079330444,0.009328033775091171,0.058581896126270294,0.20524966716766357,1.0
0.758659512786535,62.82299999999999,1000.0,9,180000,0.006245451979339123,0.19552883505821228,0.0027578932421495487,1.4459647400743643,-0.019976280629634857,14.387227058410645,8.867531061172485,23.254770040512085,0.0,-5.187987994759169e-08,1.0211304426193237,0.28312885761260986,0.01918082684278488,0.08981607109308243,0.27726998925209045,1.0
0.760574260152538,66.42799999999998,1000.0,10,200000,0.006274249870330095,0.22686965763568878,0.003626205452278873,1.4866961393386695,-0.01792316325008869,14.665045022964478,8.609336614608765,23.274385452270508,-1.5258788677030566e-09,0.0,1.2108006477355957,0.28758540749549866,0.013642197474837303,0.08678895235061646,0.23751671612262726,1.0
0.7857053909879506,80.19800000000001,1000.0,11,220000,0.0063104224391281605,0.25856301188468933,0.0038762020007974116,2.1103719112979378,-0.021591369062662125,15.4728524684906,8.895524978637695,24.36837911605835,6.103515470812226e-09,1.3427734302240424e-07,0.9410423040390015,0.2794887125492096,0.02258455380797386,0.10727041959762573,0.29699909687042236,1.0
0.9608236378160011,112.26700000000001,1000.0,12,240000,0.006093439180403948,0.2914447486400604,0.003202048552542877,1.5276658971977841,-0.020307272672653198,15.781437397003174,8.798161029815674,24.579601049423218,-4.577636492086867e-09,-3.051757735406113e-09,0.9929768443107605,0.27948465943336487,0.020283903926610947,0.10395801067352295,0.2814613878726959,1.0
0.9005927196236481,115.33400000000002,1000.0,13,260000,0.0061846645548939705,0.32530778646469116,0.0049717185010386125,2.1076070693647786,-0.01907808519899845,14.775777816772461,8.502289056777954,23.27806806564331,7.629394005448376e-09,-9.155272984173735e-09,1.0457905530929565,0.2840036451816559,0.01828690990805626,0.0911966860294342,0.2715683579444885,1.0
0.5607065604892283,65.494,1000.0,14,280000,0.0062222471460700035,0.3583454489707947,0.00452707978054454,1.8075908697334824,-0.01828826405107975,14.604941606521606,8.89167070388794,23.49661350250244,-2.7465819840699623e-08,1.0681151962899094e-08,1.091970682144165,0.2882777750492096,0.016772886738181114,0.09258253127336502,0.26399773359298706,1.0
