Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Loss/Loss_proj_penalty,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-0.5592058761105732,179.60317703409422,1000.0,1,20000,1,42.7901496887207,0.000298,0.05680273401851471,18.287528140095475,0.2600287446639123,732464.397613818,33.751688957214355,3.8321104049682617,37.58380150794983,-6.103515470812226e-09,2.19726558725597e-07
-0.4329735148951362,148.1238956233709,1000.0,2,40000,1,39.64390563964844,0.000296,0.05295030746501855,16.355687897045392,0.43063951408068024,630843.3325678913,31.197882652282715,3.471459150314331,34.66934299468994,6.103515470812226e-09,-8.239745596938519e-08
0.063755505901717,142.4477022979585,1000.0,3,60000,1,46.93207931518555,0.000294,0.044321088185801674,12.006291681966081,0.40010594076718003,441305.43556559505,33.09055995941162,3.6270601749420166,36.71762132644653,-2.2888182460434336e-09,-5.187987994759169e-08
-0.17260080231146632,138.864,1000.0,4,80000,1,26.018564224243164,0.000292,0.038444321864424424,12.725464535978274,0.40320730841935826,546739.4161841054,33.41739058494568,3.705904245376587,37.12329626083374,-1.2207030941624453e-08,-5.7983395862493126e-08
-0.8570688603948453,123.21600000000001,1000.0,5,100000,1,28.299074172973633,0.00029,0.036176267779244785,12.0554165474523,0.3983606492547086,842543.1875,32.17124652862549,3.6743061542510986,35.84555387496948,-9.155272984173735e-09,3.9672851670502496e-08
-0.8889630489977701,124.934,1000.0,6,120000,1,24.37384605407715,0.000288,0.037336145042658996,14.777146805589572,0.38196258058253757,741618.9760383386,31.418509006500244,3.7327778339385986,35.15128779411316,-1.602172794434864e-08,3.356933575560106e-08
-0.593545034762607,136.86599999999999,1000.0,7,140000,1,40.293121337890625,0.000286,0.027121309101724396,15.401613290317524,0.34105891382958464,1065660.793730032,32.50505781173706,3.4834206104278564,35.98847937583923,1.5258788677030566e-09,-4.1198727984692596e-08
-0.4634958515784011,147.571,1000.0,8,160000,1,46.1490364074707,0.000284,0.030627127058399373,12.494560631700217,0.34226906637307075,684239.1790135782,33.26242971420288,3.6402041912078857,36.90263485908508,1.3732909920349812e-08,-1.0681151962899094e-08
-0.499350597271619,130.895,1000.0,9,180000,1,357.8702087402344,0.000282,0.03067651826043289,12.406780090575781,0.3104259014522401,323712.7802266374,31.833600521087646,2.3331942558288574,34.16679549217224,5.340575981449547e-09,1.831054596834747e-08
-0.39195704021678235,125.928,1000.0,10,200000,1,32.601722717285156,0.00028000000000000003,0.02972700755698041,14.710677273357257,0.36088630696907403,943061.1772164537,31.985616445541382,3.9141743183135986,35.8997917175293,1.5258788677030566e-09,1.4648436774677975e-07
-0.34414667920321085,136.164,1000.0,11,220000,1,25.679697036743164,0.00027800000000000004,0.025940551062504324,14.320288289469271,0.38001256290608987,935302.3906749202,31.159438371658325,3.721414804458618,34.88085389137268,-2.2888182460434336e-09,0.0
-0.32209095715283154,155.329,1000.0,12,240000,1,57.529884338378906,0.00027600000000000004,0.032376337879762865,13.143274316391626,0.33284853191111985,855452.555111821,32.146246910095215,3.468554973602295,35.614802837371826,6.103515470812226e-09,-2.7465819840699623e-08
-0.176765990680602,152.994,1000.0,13,260000,1,67.56293487548828,0.00027400000000000005,0.027196869322548087,13.667152161034533,0.3775983940565977,864901.0762779553,31.4315083026886,3.723741054534912,35.155250549316406,-6.484984993448961e-09,-2.7465819840699623e-08
-0.013697542697935671,158.52899999999997,1000.0,14,280000,1,82.55384063720703,0.00027200000000000005,0.03133840251047486,16.87345446717625,0.2956263406749684,629662.9940095847,32.32685875892639,3.6764259338378906,36.0032856464386,9.155272984173735e-09,6.713867151120212e-08
-0.17727540194338304,163.40499999999997,1000.0,15,300000,1,55.088260650634766,0.00027000000000000006,0.03940131612264881,15.303336177009363,0.25862550077894436,637939.7504992012,34.144521713256836,3.622466802597046,37.76699185371399,-6.675719976811934e-10,0.0
-0.12786955762492175,160.072,1000.0,16,320000,1,47.39689254760742,0.00026800000000000006,0.032108733513818,14.893701349203578,0.3108709895620331,509713.3856329872,32.75781440734863,3.177562952041626,35.93537926673889,-4.577636492086867e-09,5.722045615108584e-10
-0.054475638706629026,136.022,1000.0,17,340000,1,39.57265853881836,0.00026600000000000007,0.02497991787109036,14.431562589761167,0.2718676919022355,726571.4842751598,32.72092390060425,3.5244500637054443,36.24537515640259,0.0,-3.662109193669494e-08
-0.17926124612864922,127.26200000000001,1000.0,18,360000,1,38.76156234741211,0.0002640000000000001,0.024686558817784057,13.242424389043936,0.274173302564044,843539.032448083,30.649487018585205,3.7143208980560303,34.36380910873413,-3.7193297330873065e-09,-2.4414061883248905e-08
0.036137311035601874,137.571,1000.0,19,380000,1,121.82998657226562,0.0002620000000000001,0.029877290156440802,16.08867587677587,0.3374595632151769,751131.7721645368,31.96230125427246,3.732863187789917,35.69516563415527,2.2888182460434336e-09,7.934570334100499e-08
0.26275934945370094,143.714,1000.0,20,400000,1,95.01158905029297,0.0002600000000000001,0.029916734961322702,15.178574734221632,0.2780972499751483,936986.4983027156,32.27038645744324,3.710719347000122,35.981106996536255,-1.5258788677030566e-09,3.05175760217935e-08
0.10467947995755475,157.88799999999998,1000.0,21,420000,1,34.29815673828125,0.0002580000000000001,0.024406873626997488,15.596926661726004,0.31082504427732943,1128352.830471246,32.511393308639526,3.8124477863311768,36.3238422870636,-4.577636492086867e-09,1.0681151962899094e-08
