Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LagragianMultiplier,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-0.8294695133007254,138.10523353559924,1000.0,1,20000,40,0.016979845240712166,0.0,0.00029939999999999996,0.00396900172493184,1.4794826665637306,-0.015954437107108116,31.55425715446472,128.53780698776245,160.0920672416687,1.907348501362094e-09,-7.934570334100499e-08
-0.4951318118845068,72.10749366688373,1000.0,2,40000,31,0.0213618241250515,0.012018834240734577,0.00029879999999999994,0.0036136494904060092,1.1309710152030275,-0.021259557257861276,29.662777185440063,98.94633269309998,128.60911083221436,-2.7465819840699623e-08,-1.2817382355478912e-07
-0.08467983582128825,76.31798687782154,1000.0,3,60000,31,0.020749391987919807,0.03421926498413086,0.00029819999999999993,0.003932256917215328,1.3310501938700172,-0.019602122469833495,30.964977264404297,94.93908786773682,125.90406656265259,-2.7465819840699623e-08,0.0
0.9364606862747971,87.75399999999999,1000.0,4,80000,15,0.022960253059864044,0.06124510616064072,0.0002975999999999999,0.014111306783430777,2.430478688690482,-0.015041765107558018,30.34679651260376,47.526955127716064,77.8737530708313,1.3351439953623867e-08,4.882812376649781e-08
2.288399354682234,101.645,1000.0,5,100000,21,0.02060900814831257,0.0910051017999649,0.0002969999999999999,0.012782982139237918,1.9784792818182337,-0.01849710842373186,29.653583526611328,67.1509039402008,96.80448842048645,1.907348590179936e-08,-7.629394005448376e-09
3.601918939556042,108.09,1000.0,6,120000,22,0.02325424738228321,0.12248703837394714,0.0002963999999999999,0.014727881190161735,1.83146986418985,-0.02152687154114928,30.459161043167114,68.84471654891968,99.30387949943542,-1.0681151962899094e-08,4.2724607851596375e-08
4.295421477661799,109.854,1000.0,7,140000,16,0.02120300941169262,0.15514957904815674,0.00029579999999999987,0.012415816786865623,2.526382628828287,-0.021339627733928695,30.887609481811523,51.35204482078552,82.2396559715271,7.629394338515283e-10,4.2724607851596375e-08
4.993227524529012,115.84400000000002,1000.0,8,160000,16,0.021214239299297333,0.18871761858463287,0.0002951999999999999,0.015865055945260782,2.641690736035474,-0.022932294940560337,29.65850853919983,50.94486689567566,80.60337710380554,-2.4414061883248905e-08,4.882812376649781e-08
5.768403690035926,112.955,1000.0,9,180000,17,0.020111870020627975,0.22292348742485046,0.0002945999999999999,0.021696973782648125,2.286613451451024,-0.025967448235700685,29.841739177703857,54.71926999092102,84.56101179122925,3.1661986810149756e-08,-1.2207030941624453e-08
6.761869067166948,112.875,1000.0,10,200000,19,0.022396940737962723,0.25761276483535767,0.0002939999999999999,0.020552322450772802,2.3768980299321987,-0.029793613921360436,31.517217874526978,54.9660918712616,86.48331117630005,-7.629394338515283e-10,1.525878801089675e-08
7.2685258941049,128.17000000000002,1000.0,11,220000,14,0.021505752578377724,0.2928844094276428,0.00029339999999999987,0.028225209310417887,2.3361764859522056,-0.02767118435040191,31.57908034324646,44.50416707992554,76.08324909210205,1.831054596834747e-08,-1.831054596834747e-08
7.359907740277549,121.77900000000002,1000.0,12,240000,16,0.021432975307106972,0.3285316228866577,0.0002927999999999999,0.019833652916685724,2.1404850586130024,-0.02825596365562905,30.52069091796875,52.990015506744385,83.51070785522461,3.051757735406113e-09,2.4414061883248905e-08
6.887161455321331,115.94800000000001,1000.0,13,260000,14,0.02274693176150322,0.36437317728996277,0.0002921999999999999,0.019622743823652682,2.731785082983024,-0.033987834700223846,33.336793184280396,45.58848214149475,78.92527651786804,1.5258788677030566e-09,2.5939939973795845e-08
6.729972194805647,107.75899999999999,1000.0,14,280000,13,0.02212047390639782,0.4001917243003845,0.0002915999999999999,0.02548020642500716,2.340195813352454,-0.028776881637948462,30.554778575897217,41.069132804870605,71.62391233444214,-6.103515470812226e-09,0.0
7.594792469969657,105.14499999999998,1000.0,15,300000,15,0.021181326359510422,0.4359247088432312,0.00029099999999999986,0.02363650189738431,2.188037082219657,-0.03498413618296956,31.45237135887146,46.337687492370605,77.79006147384644,2.6702879907247734e-09,-2.4414061883248905e-08
8.29518465504416,105.42699999999999,1000.0,16,320000,12,0.020228814333677292,0.471591591835022,0.00029039999999999985,0.024927146791820676,2.787386065759598,-0.03448519981848086,29.59542989730835,38.93480467796326,68.5302357673645,6.866454960174906e-09,2.7465819840699623e-08
8.856171850188987,115.53200000000001,1000.0,17,340000,9,0.02133774943649769,0.5074458122253418,0.00028979999999999983,0.023984141349937947,2.8796332615632982,-0.026323193374771278,30.598395586013794,28.996325969696045,59.59472370147705,-3.051757735406113e-09,-1.525878801089675e-08
8.890424839806478,110.71700000000001,1000.0,18,360000,11,0.02048192173242569,0.5433387756347656,0.0002891999999999998,0.021777418796963082,2.8687440195542036,-0.03439991623260602,30.634631156921387,35.47697901725769,66.1116111278534,8.392333938900265e-09,-6.103515470812226e-09
8.37770503362368,118.782,1000.0,19,380000,12,0.021265046671032906,0.5794535279273987,0.0002885999999999998,0.02953654280179344,2.8789066462217177,-0.040114297985056606,31.62902855873108,33.42029166221619,65.04932236671448,0.0,1.2207030941624453e-08
7.973644069588673,128.021,1000.0,20,400000,10,0.020160578191280365,0.6159515976905823,0.00028799999999999984,0.024336241068431554,3.016283612548353,-0.03574847418564958,29.20738124847412,32.0163893699646,61.22377324104309,0.0,-6.103515470812226e-09
