Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-0.8294695133007254,138.10523353559924,1000.0,1,20000,40,0.016979845240712166,0.00029939999999999996,0.00396900172493184,1.4794826665637306,-0.015954437107108116,25.59424614906311,87.4677505493164,113.06200575828552,1.907348501362094e-09,-7.934570334100499e-08
-0.4951318118845068,72.10749366688373,1000.0,2,40000,31,0.020243370905518532,0.00029879999999999994,0.0036135265260474497,1.1309709766716314,-0.021438772817153152,23.131155490875244,67.98189687728882,91.11305737495422,-2.7465819840699623e-08,-1.2817382355478912e-07
-0.060802980975023804,75.10310375275935,1000.0,3,60000,21,0.02000066079199314,0.00029819999999999993,0.004231383662964714,1.5655661890554986,-0.018770054282407165,25.134994745254517,46.64553666114807,71.7805347442627,1.525878801089675e-08,9.155273517080786e-08
1.0017070615201003,98.803,1000.0,4,80000,23,0.020354973152279854,0.0002975999999999999,0.008521000452885326,2.244496142148872,-0.015626341720559413,23.416008234024048,50.48522877693176,73.90124464035034,2.4414061883248905e-08,-1.2207030941624453e-08
2.1342273472834927,121.367,1000.0,5,100000,29,0.02055327780544758,0.0002969999999999999,0.01285011839453807,1.7496075799539512,-0.01690492872723326,22.83256983757019,63.18974494934082,86.02232027053833,-2.7465819840699623e-08,6.713867151120212e-08
3.3114438298504125,122.099,1000.0,6,120000,20,0.020731324329972267,0.0002963999999999999,0.016974997941847925,1.7901157608333107,-0.01598528312078823,23.36042046546936,43.38036775588989,66.740793466568,-3.662109193669494e-08,5.6457519548303026e-08
4.585457421547895,105.401,1000.0,7,140000,21,0.021920332685112953,0.00029579999999999987,0.02405204254001488,2.1138802123145934,-0.0200616783276427,23.848870277404785,46.47945809364319,70.32834267616272,3.204345588869728e-08,-1.2207030941624453e-08
6.019178874450628,121.33600000000001,1000.0,8,160000,21,0.021434813737869263,0.0002951999999999999,0.016529500507491034,2.3766497708284637,-0.0224354109975794,23.386497735977173,47.339861154556274,70.7263822555542,3.662109193669494e-08,3.204345588869728e-08
7.223731951652979,141.685,1000.0,9,180000,20,0.02113748900592327,0.0002945999999999999,0.021075474409707865,2.6355530354447256,-0.020485346157329914,22.761034727096558,44.545955181121826,67.30700016021729,-1.525878801089675e-08,-9.155272984173735e-09
8.596304036724081,159.228,1000.0,10,200000,16,0.020213020965456963,0.0002939999999999999,0.025884598816414705,2.799264059863247,-0.019974512606710435,23.388137578964233,35.757575035095215,59.145721197128296,-1.5258788677030566e-09,-9.155272984173735e-09
9.595960740072247,155.275,1000.0,11,220000,13,0.021587751805782318,0.00029339999999999987,0.02780037088940846,3.2213449339721327,-0.018713444347877185,21.978885412216187,28.80907416343689,50.787965297698975,1.831054596834747e-08,-1.2207030941624453e-08
10.21642794181588,150.20800000000003,1000.0,12,240000,16,0.020675355568528175,0.0002927999999999999,0.03168949324726172,2.860693793315381,-0.02037880388917937,23.474733352661133,34.19688963890076,57.67162561416626,7.629394338515283e-10,-4.577636758540393e-08
10.118047985284974,146.201,1000.0,13,260000,12,0.02218913845717907,0.0002921999999999999,0.03215593750577686,3.4465500703984047,-0.01953126603952699,23.426553964614868,26.390223264694214,49.81678295135498,2.9373168786150927e-08,-9.155272984173735e-09
10.999851028556936,148.738,1000.0,14,280000,13,0.024084143340587616,0.0002915999999999999,0.037838547753065305,3.4235433811314073,-0.01882636871323462,23.90844750404358,28.39168429374695,52.30013680458069,-1.3732909920349812e-08,4.882812376649781e-08
11.619942940579126,149.536,1000.0,15,300000,11,0.020685160532593727,0.00029099999999999986,0.04136759038033213,3.6691968281221294,-0.01767711039614165,23.361443042755127,24.118093252182007,47.47954344749451,2.9945372403972215e-08,1.2207030941624453e-08
12.148530482721128,155.675,1000.0,16,320000,12,0.021474163979291916,0.00029039999999999985,0.030857971886766002,3.3882259276315683,-0.021060516919045095,23.48379373550415,26.794768810272217,50.27856945991516,9.918212917625624e-09,5.035400363340159e-08
12.502004756547695,154.802,1000.0,17,340000,9,0.02098776586353779,0.00028979999999999983,0.02937199421792979,4.104498655820596,-0.018314956762769414,22.815531253814697,19.81712794303894,42.63266658782959,1.0681151962899094e-08,-6.103515470812226e-09
13.102170938786731,153.80700000000002,1000.0,18,360000,9,0.02002507820725441,0.0002891999999999998,0.038926582991082405,3.986504835019435,-0.018062554170563686,23.66936182975769,19.842243432998657,43.511610984802246,-1.0681151962899094e-08,-2.4414061883248905e-08
13.649445881012573,158.73499999999996,1000.0,19,380000,9,0.020372290164232254,0.0002885999999999998,0.043274890040971514,3.933227560919652,-0.015605785419789556,24.104898691177368,19.271615505218506,43.376521825790405,-4.1961669694501325e-09,-2.4414061883248905e-08
14.414496244012787,160.52400000000003,1000.0,20,400000,10,0.021283572539687157,0.00028799999999999984,0.044183093864030354,3.951779940543464,-0.01818884102606807,23.55485510826111,21.372644424438477,44.92750644683838,1.201629640235069e-08,-9.155272984173735e-09
15.584291545720948,159.00100000000003,1000.0,21,420000,8,0.020720738917589188,0.00028739999999999983,0.05500282245515563,4.2528258762039695,-0.01614698415217451,24.6292986869812,17.460180044174194,42.0894832611084,-7.629394005448376e-09,-1.831054596834747e-08
16.598189328358146,159.71200000000002,1000.0,22,440000,7,0.02045939490199089,0.0002867999999999998,0.052064447402308,5.0477232715409945,-0.014911704859940743,23.780752420425415,15.294476747512817,39.07523727416992,-9.155272984173735e-09,-2.2888182460434336e-09
16.558892729325656,162.60899999999998,1000.0,23,460000,10,0.021514322608709335,0.0002861999999999998,0.052135663040386984,4.304153871879029,-0.018582835021211556,23.916760444641113,22.013181924819946,45.92994785308838,3.433227480087453e-09,-3.05175760217935e-08
16.115890499229163,170.59799999999998,1000.0,24,480000,10,0.022540049627423286,0.0002855999999999998,0.05253710735636873,3.8000200732066607,-0.019330500052444424,22.585636138916016,21.30020308494568,43.88584518432617,1.0681151962899094e-08,-6.103515470812226e-09
16.595707025237225,171.387,1000.0,25,500000,8,0.022985994815826416,0.00028499999999999977,0.059499192953901214,4.093479671655372,-0.016667492258490416,23.31721544265747,17.29070019721985,40.60792303085327,0.0,2.4414061883248905e-08
