Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/KL,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep
-0.4044224162451952,16.054177917026216,1000.0,1,20000,0.006294128485023975,0.0054877017575737305,0.9320280957278932,-0.019104989245533943,20.061665296554565,10.770440340042114,30.83210849761963,1.525878801089675e-08,4.425048771850015e-08,1.0460363626480103,0.25833263993263245,0.018278315663337708,0.08992398530244827,0.24696333706378937,1.0
-0.1639195860840892,42.68461891858547,1000.0,2,40000,0.006733621004968882,0.003435898871623739,1.2810602004550824,-0.020731927827000618,19.364376544952393,9.663451194763184,29.027828693389893,-6.484984993448961e-09,0.0,0.9908074140548706,0.2658918499946594,0.020372826606035233,0.09535887092351913,0.2683587372303009,1.0
0.0532077901732213,69.58124270699406,1000.0,3,60000,0.00748628843575716,0.002781723300291664,1.476314045783061,-0.022165441885590553,18.741020679473877,12.22850513458252,30.969527006149292,1.602172794434864e-08,2.3574828844630247e-07,0.934127151966095,0.25087425112724304,0.022920168936252594,0.10793817043304443,0.26856544613838196,1.0
0.3220850445783433,96.88200000000002,1000.0,4,80000,0.007321826182305813,0.0019092034304567915,2.0334208523391917,-0.02084370329976082,19.195703506469727,12.359751224517822,31.555456161499023,1.354217538107605e-08,1.098632793627985e-07,1.0110670328140259,0.26155605912208557,0.01956455036997795,0.0968100056052208,0.258693128824234,1.0
0.4241214333323503,111.91600000000001,1000.0,5,100000,0.007160279434174299,0.003458116583935442,2.336723970379799,-0.017001498490571976,18.742380380630493,11.730857610702515,30.4732403755188,3.814697002724188e-09,2.1362303925798187e-08,1.2160532474517822,0.2679627239704132,0.013524601235985756,0.08690682053565979,0.22035442292690277,1.0
0.5042237817453719,117.70899999999999,1000.0,6,120000,0.007621800061315298,0.003353656002522037,2.190965145522622,-0.019782252609729767,18.86233901977539,12.271203756332397,31.133544445037842,2.2888182460434336e-09,9.307861148499796e-08,1.040470004081726,0.2606833875179291,0.018474411219358444,0.1033543273806572,0.25054386258125305,1.0
0.7684942131558373,124.452,1000.0,7,140000,0.006598292384296656,0.0034862553580681894,2.130319541654769,-0.01785821095108986,18.823254346847534,10.893115758895874,29.71637225151062,-8.392333938900265e-09,8.697509201738285e-08,1.1492805480957031,0.27123022079467773,0.015141801908612251,0.090193971991539,0.23600003123283386,1.0
0.9844992786750522,126.665,1000.0,8,160000,0.005694320425391197,0.004273460304459474,1.985055831245556,-0.014576449058949947,18.822797298431396,9.54508638381958,28.36788535118103,6.103515470812226e-09,0.0,1.3738259077072144,0.2932834029197693,0.010596591047942638,0.07363174110651016,0.21347931027412415,1.0
0.7990189967625616,124.56599999999999,1000.0,9,180000,0.0064629423432052135,0.0056545007956113405,2.4343032964475597,-0.014178292825818062,18.74557089805603,12.69633173942566,31.441904067993164,4.959106458812812e-09,1.2207030941624453e-08,1.3881844282150269,0.25864240527153015,0.010378514416515827,0.09402010589838028,0.18631702661514282,1.0
0.3073597336830327,98.989,1000.0,10,200000,0.005627542734146118,0.006076916372462823,1.9327753575364495,-0.013976186513900757,18.031794786453247,12.373752355575562,30.405548334121704,5.7220459481754915e-09,-9.155272984173735e-09,1.4733741283416748,0.30437034368515015,0.00921304989606142,0.06137755885720253,0.2065805047750473,1.0
-0.013678587001424297,86.46400000000001,1000.0,11,220000,0.005697762593626976,0.005608843761988601,1.7728701839021817,-0.013713791966438293,18.955170154571533,11.593347072601318,30.548518896102905,-2.0980834847250662e-09,1.2207030941624453e-08,1.4235588312149048,0.2973574995994568,0.009869125671684742,0.06876038014888763,0.20888318121433258,1.0
0.17681448282663734,75.46600000000001,1000.0,12,240000,0.006011775229126215,0.006300376439289113,2.225074192824637,-0.015117324888706207,17.543813943862915,9.23326587677002,26.77708125114441,1.12533564688988e-08,3.05175760217935e-08,1.3364925384521484,0.2880870997905731,0.011196866631507874,0.07022478431463242,0.2155546098947525,1.0
0.49488324076791557,81.62199999999999,1000.0,13,260000,0.005859661381691694,0.005342143384893988,2.124919322987271,-0.015898071229457855,18.990524768829346,10.544426679611206,29.53495216369629,-3.0899048653054706e-08,1.2207030941624453e-08,1.2559609413146973,0.2953968942165375,0.012678777799010277,0.07078596949577332,0.23519593477249146,1.0
